Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_2,site_3,site_4,site_5,site_17,site_18,site_21,site_24,site_26,site_28,site_35,site_57,site_58,site_59,site_60,site_69,site_70
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Neomegalonema,475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921229586935639,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,477,0.0,0.0,0.0,0.0018406037180195103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Nevskia,478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Nibribacter,479,0.03794346423828496,0.7733857107782961,0.03746391343632236,0.07362414872078042,0.0,0.03775009437523594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor,480,0.0,0.012275963663147557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130257854990805,0.0,0.0,0.07684918347742556,0.04204183162246435,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,481,0.03794346423828496,0.0,0.004407519227802631,0.009203018590097553,0.0,0.0,0.0,0.009932459276916964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011738466956215518,0.0,0.0,0.0,0.003503485968538696,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007825644637477012,0.0,0.0,0.01921229586935639,0.010510457905616088,0.0,0.0,0.0
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,484,0.0,0.012275963663147557,0.004407519227802631,0.014724829744156082,0.0,0.012583364791745311,0.0,0.004966229638458482,0.0,0.0704308017372931,0.0,0.030840400925212026,0.07684918347742556,0.11911852293031568,0.0,2.82,0.0
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospirae_bacterium,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1722990086113323,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Nitrotoga,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007117691021032778,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,488,0.07588692847656991,0.6629020378099681,0.06390902880313816,0.09018958218295602,0.0,0.06291682395872657,0.0,0.0,0.0,0.039128223187385056,0.0,0.0,0.0,0.007006971937077392,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales_unclassified,Nordella,489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,490,0.0,0.0,0.0022037596139013156,0.0,0.0,0.0,0.0015819655922483685,0.0,0.0,0.4382360996987127,0.01447282726680657,0.0,0.1729106628242075,0.01751742984269348,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,491,0.07588692847656991,0.220967345936656,0.03966767305022368,0.09387078961899503,0.8470089994706195,0.36491757896061405,0.806802452046668,0.11918951132300357,0.9870417777308595,1.1934108072152445,2.9524567624285405,1.4957594448727833,3.3621517771373677,2.2562449637389204,1.4698031958432685,0.0,3.2
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10_marine_group,492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
