,GID,Site_2,Site_5,Site_11,Site_12,Site_14,Site_23,Site_30,Site_32,Site_34,Site_36,Site_37,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48,Site_49,Site_50,Site_51,Site_52,Site_53,Site_54,Site_55,Site_56,Site_61,Site_62,Site_63
108,109,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.5976,0.0,0.0,0.1332,0.0932,0.0,0.0,0.0099,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,0.0
109,110,7.6858,5.1978,0.0899,0.0,0.004,0.0,2.1462,0.0,4.3934,0.0,0.0271,0.1353,4.5182,7.0465,0.5734,0.0236,21.5485,49.5952,47.3872,32.2595,2.9957,0.0049,0.0,2.9222,0.0148,0.0,2.3206,0.3533,0.6241,0.5713
110,111,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044
111,112,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,113,0.0,0.2156,0.4131,0.0,0.0004,0.0,0.0437,0.0,0.0,0.0,4.0628,2.9745,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302,0.2774,0.1744
113,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0271,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,0.0174
117,118,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0271,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305
124,125,0.0,0.0057,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,129,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,134,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,0.0218
134,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,136,0.252,9.7344,0.0,0.0259,0.0012,0.0,0.2789,0.0,0.0807,0.0,0.0,0.018,0.1089,0.0171,0.4699,0.0,0.9387,0.0024,0.2251,1.6469,0.0394,0.0032,0.0,0.014,0.0,0.0,0.0,0.595,0.601,0.4972
136,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1456,0.0,0.0637,0.002,0.219,0.0,0.0,0.0788,0.0,0.0,0.1264,0.0,0.0,0.0019,0.0,0.0,0.0
138,139,0.0,0.2127,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0271,0.1384,0.0,0.06,0.72,0.0036,0.0,0.0315,0.8928,1.4013,0.2069,0.2482,0.0,0.3653,1.9459,0.0,0.0057,0.1116,0.2312,0.2529
139,140,0.0,0.0,0.0656,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0544,0.0,0.0,0.0036,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,141,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,143,3.5699,2.3402,0.0049,0.0151,0.0004,0.0,3.3079,0.0,0.1973,0.0002,9.4529,14.1749,0.1633,3.0006,0.1207,0.1073,0.183,1.4847,1.5831,0.3178,12.2192,27.0783,0.0662,12.8266,14.1469,0.8118,0.0286,0.5392,0.4161,0.4187
143,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0012,0.0,0.0,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
