Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_6,site_7,site_10,site_19,site_20,site_23,site_25,site_27,site_30,site_31,site_33,site_36,site_37,site_38,site_39,site_41,site_42,site_43,site_45,site_46,site_48,site_50,site_51,site_52,site_53,site_54,site_61,site_62,site_63,site_64,site_65,site_66
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,100,0.0,0.009700497150478962,0.0,0.0,0.0,0.0,0.008624655013799448,0.0,0.0,0.0,0.0,0.0,0.004892687063735403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00872219799389446,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,101,0.0,0.07760397720383169,0.0,0.0,0.0,0.0,0.0,0.0,0.008966197435667534,0.0,0.0,0.009022827754218171,0.0016308956879118011,0.0021417862497322766,0.0012100531213320265,0.0,0.041999160016799666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436109899694723,0.0,0.0,0.05443658138268917,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Arthrospira,102,0.0,0.0,0.0,0.0,0.0,0.002430074603290321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,103,0.0,0.0,0.0,0.0,0.0,0.0,0.011499540018399264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037513598679521326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436109899694723,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopococcus,105,0.0,0.0,0.0,0.0,0.0,0.0,0.005749770009199632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogleaceae,Azoarcus,107,0.0,0.009700497150478962,0.0,0.0,0.0,0.0,0.002874885004599816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,108,0.0,0.45107311749727175,0.0,0.0,0.0,0.0,0.002874885004599816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008966197435667534,0.0,0.0,0.0,0.0,0.5975583636753051,0.09317409034256603,0.0,0.39899202015959684,0.009854158454867954,0.0,0.0,0.02809778027535825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,110,0.0,2.1462349945434704,0.0,0.0,32.259462583068476,0.08991276032174188,5.197792088316467,0.004867285352715945,4.393436743477092,0.0,0.027085590465872153,0.1353424163132726,0.03098701807032422,7.04647676161919,49.595237230914435,47.38717785197134,7.685846283074338,2.9956641702798583,0.014823399409759188,0.5733994395343823,2.9221691486372574,0.0,0.023644101706012877,0.003981589131854306,0.0,2.3206106870229006,0.3532911863146151,0.5713039686000873,0.624133148404993,0.26,4.518236254763201,0.4
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,111,0.0,0.0,0.0,0.0,0.0,0.0,0.005749770009199632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436109899694723,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039815891318543056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,113,0.0,0.04365223717715533,0.0,0.0,0.0,0.41311268255935457,0.2156163753449862,0.0,0.0,0.0,4.062838569880824,2.9745255496405907,3.1362124078543934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039815891318543056,0.0,0.0,0.13015991074748978,0.17444395987788924,0.27739251040221913,0.0,0.0,0.0
Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,114,0.0,0.0,0.0,0.0002414916455965206,0.0,0.0,0.0,0.0,0.0,0.0,0.027085590465872153,0.024060874011248456,0.027725226694500622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01744439598778892,0.02311604253351826,0.0,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified_ecb10,bacterium_enrichment_culture_clone_ecb10,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
